deathRate,medIncome,popEst2015,povertyPercent,studyPerCap,MedianAge,Geography,AvgHouseholdSize,PercentMarried,PctHS18_24,PctHS25_Over,PctUnemployed16_Over,PctPrivateCoverage,PctEmpPrivCoverage,PctPublicCoverage,BirthRate
164.9,61898,260131,11.2,499.7482038,39.3,"Kitsap County, Washington",2.54,52.5,39.5,23.2,8,75.1,41.6,32.9,6.118831029
161.3,48127,43269,18.6,23.11123437,33,"Kittitas County, Washington",2.34,44.5,22.4,26,7.8,70.2,43.6,31.1,4.333095578
174.7,49348,21026,14.6,47.56016361,45,"Klickitat County, Washington",2.62,54.2,36.6,29,7,63.7,34.9,42.1,3.729487817
194.8,44243,75882,17.1,342.6372526,42.8,"Lewis County, Washington",2.52,52.7,41.2,31.6,12.1,58.4,35,45.3,4.603840773
144.4,49955,10321,12.5,0,48.3,"Lincoln County, Washington",2.34,57.8,43,33.4,4.8,61.6,35.1,44,6.796657382
176,52313,61023,15.6,180.259902,45.4,"Mason County, Washington",2.58,50.4,35.1,30.4,12.9,60,32.6,43.2,4.964476021
175.9,37782,41516,23.2,0,42.6,"Okanogan County, Washington",2.42,54.1,41.4,29.8,8.9,49.5,28.3,46.4,4.204317269
183.6,40189,20848,17.8,0,51.7,"Pacific County, Washington",2.24,52.7,33.9,31.6,8.9,55.8,25.9,50.9,5.889178996
190.5,42579,13088,22.3,0,49.3,"Pend Oreille County, Washington",2.38,55.9,39.4,32.2,10.3,55.5,29.9,48.1,5.587583149
177.8,60397,843954,13.1,427.7484318,35.8,"Pierce County, Washington",2.65,50,36.3,28.8,9.2,69.9,44.4,31.4,5.533430211
121.4,54721,16252,12.7,0,54.4,"San Juan County, Washington",2.04,56.8,32.4,17.2,5.9,67.2,27.9,41.6,4.586129754
172.7,51395,121846,15.7,837.1222691,41,"Skagit County, Washington",2.56,53.6,33.8,26.7,8.2,64.4,38,38.1,5.818153266
188.3,52673,11339,12.6,0,45.2,"Skamania County, Washington",2.49,54.4,43.8,29.2,8.3,64.4,42.6,36.1,4.805591962
165.3,71890,772501,9.9,138.5111476,37.6,"Snohomish County, Washington",2.68,52.1,33.3,24.3,7.5,73.3,54.3,25.9,4.729251068
171,50083,490945,16.3,462.3735856,37.2,"Spokane County, Washington",2.45,49.4,29.3,25.7,8.4,65.2,42.5,36.5,5.355835918
174.2,43823,43791,19.3,0,46.2,"Stevens County, Washington",2.44,57.2,35.3,34.4,9.4,58.3,33.9,45.8,3.631082062
169.9,61653,269536,11.9,207.7644545,38.5,"Thurston County, Washington",2.52,52.4,31.7,22.7,8.5,74.5,43.5,30.7,5.180155167
153.8,51022,4042,13.9,0,52.1,"Wahkiakum County, Washington",2.31,53.5,20.8,33.1,10.6,64.7,35.2,49.7,0.535475234
162.8,49819,60338,15.7,464.0525042,36.9,"Walla Walla County, Washington",2.5,46.5,29.2,22.6,6.4,65.7,40,38,4.138710893
163.3,53733,212284,15.7,249.6655424,36.5,"Whatcom County, Washington",2.53,47.5,22.1,23,8.2,68.7,44.8,31.9,4.4729858
140.8,41837,48177,28.4,0,24.2,"Whitman County, Washington",2.31,36.1,16.4,17.4,8.8,78.3,53.8,22.9,3.304159034
169.4,44342,248830,20.5,301.4106016,32.5,"Yakima County, Washington",3.05,48.6,39.3,27.8,9,54.6,30.8,35.7,6.560611666
189.7,35615,16704,21.5,0,41.5,"Barbour County, West Virginia",2.68,52,36.1,47.1,9,55.6,36.5,44.8,2.292860865
206.1,56737,111901,13.2,89.3647063,38.4,"Berkeley County, West Virginia",0.0263,51.8,40.8,38.2,9.7,70,49.7,33.1,4.872468117
236.7,37625,23372,22.1,0,41.9,"Boone County, West Virginia",2.5,55.2,42.9,49.4,9.2,60.2,41.3,46.3,4.220287661
196.3,33817,14415,22.2,0,44.5,"Braxton County, West Virginia",2.51,52.4,46.2,49.1,14.4,56.1,38.9,43.4,5.469020422
186.2,43572,23350,15.1,0,45.9,"Brooke County, West Virginia",2.26,50.3,30.6,43.7,6.4,68.3,46.4,39.7,4.970530452
194,34887,96844,21.9,330.4283177,38.5,"Cabell County, West Virginia",2.32,43,28.2,31.9,6.8,63.3,44.4,39,4.521925134
226.5,32162,7470,21.8,0,47,"Calhoun County, West Virginia",2.44,55.7,31.4,48.9,18.1,52.4,35.1,46,4.780114723
212.9,32961,8910,25.1,4938.271605,43.3,"Clay County, West Virginia",2.62,55.8,51.1,49.1,12.3,48.7,32.6,52,8.753056235
185.6,41838,8176,17.4,0,43.7,"Doddridge County, West Virginia",2.85,45.8,61.7,44.3,6.5,55.2,35.5,45.2,6.016466118
217,36739,44997,21.4,0,43.2,"Fayette County, West Virginia",2.47,50.9,49.3,44.4,9.2,53.4,34,47.8,6.526136485
209.9,32705,8518,28.9,0,38.4,"Gilmer County, West Virginia",2.4,43.2,29.4,36.6,9.4,61.3,41.2,39,2.328431373
128,41039,11766,17,0,45.6,"Grant County, West Virginia",0.028,50.5,41.5,50.2,6.7,65.1,44.5,42.4,3.528435035
195.1,36996,35516,21.1,0,45.3,"Greenbrier County, West Virginia",2.28,52.2,36.6,44,7.2,61.9,39.1,43,4.354354354
212.1,35980,23353,21.2,0,44.6,"Hampshire County, West Virginia",2.25,38.7,47.4,50,8.1,50.5,35.6,44.7,2.28320067
184.1,48178,29815,12.9,0,45.6,"Hancock County, West Virginia",2.32,51.8,23.8,42.8,7.2,69.5,46.7,37.6,5.693029274
153,41010,13852,15.3,0,44.5,"Hardy County, West Virginia",2.69,50.1,54.2,47.7,7.9,65.8,46.9,38.2,2.955003358
206.7,42121,68714,13.9,160.0838257,42,"Harrison County, West Virginia",2.48,52.4,38.6,39.5,7.4,64,44,39.5,5.060383303
194.2,41121,29237,16.7,0,42.6,"Jackson County, West Virginia",2.62,54.5,41.2,41.1,6.8,66.9,45.6,40.6,4.735242361
178.2,66950,56482,10.2,0,39.7,"Jefferson County, West Virginia",2.65,53.3,24.5,32.1,8.4,73.3,53.8,29.2,4.995519713
205.4,43936,188332,16.8,191.1517958,42.8,"Kanawha County, West Virginia",2.28,47.9,33,37.3,7,66,45.4,39.4,4.091266719
218.4,40568,16448,20,0,43.3,"Lewis County, West Virginia",2.48,50.6,41.8,49.7,7.2,56.4,35.5,46.8,4.374100719
226.9,34295,21415,24.4,46.69624095,41.9,"Lincoln County, West Virginia",2.69,50.6,50.7,43.4,10.1,51.7,31.7,52.6,2.635983264
240.1,36437,34707,20.2,28.81263146,42.6,"Logan County, West Virginia",2.5,53.1,45.9,41.6,10.9,56.1,39.9,45.5,4.195713917
234.8,24707,19835,34.9,0,44.1,"McDowell County, West Virginia",2.39,46,51.6,43.9,13.3,39.7,23.4,58.5,3.860072376
188.8,43729,56925,17.9,0,41.1,"Marion County, West Virginia",2.47,51,34.4,40.9,4.9,67.6,48.5,35.7,5.113459745
184.6,43356,31978,15.2,0,44.3,"Marshall County, West Virginia",2.36,57.7,45.9,45.1,7,70.3,47.8,37.5,3.174132305
209.5,35799,27037,20.6,1146.576913,43,"Mason County, West Virginia",2.44,51.6,42.5,47.5,10.3,59.6,39,47.6,3.66910141
210,35046,61164,20.5,81.74743313,42.3,"Mercer County, West Virginia",2.39,50.6,37.3,37.9,5.1,56.4,35.9,48.2,4.807972069
198.4,40012,27451,16.1,0,43.2,"Mineral County, West Virginia",2.4,44.2,48.4,50.2,8.8,58.6,41.6,39.4,7.391231312
240.8,29839,25292,28.1,0,41.7,"Mingo County, West Virginia",2.38,55.6,47.3,41,14.1,51.6,34.1,50.9,2.796024928
155.9,43835,104236,22.5,95.9361449,30,"Monongalia County, West Virginia",2.56,37.2,23.8,29.9,5.8,76.5,57.1,23.3,4.001671717
190.7,36351,13506,19.3,0,46.6,"Monroe County, West Virginia",2.3,56.8,42,49.4,7.3,60.5,36.6,45.2,6.07651913
209.7,44446,17524,13,0,46.1,"Morgan County, West Virginia",2.36,47.7,53.1,41.2,12.3,63.7,38.4,38.4,4.090035685
199.8,36375,25594,19.6,0,43.4,"Nicholas County, West Virginia",2.39,57.9,44.2,48,8.4,61.6,42.2,44.1,3.346456693
184.4,40195,43066,18.4,301.8622579,43.3,"Ohio County, West Virginia",2.24,45.2,26.7,34.5,5.5,70.9,47.9,36.2,3.257226644
139.8,38204,7229,16.7,0,49.1,"Pendleton County, West Virginia",2.35,55.3,41.3,46,4.9,59.8,31,45.3,7.611940299
213.3,44801,7674,16.5,0,43.6,"Pleasants County, West Virginia",2.43,55,47.1,50.1,8.2,71.6,51.8,36.8,2.966381015
176.8,34341,8607,17.6,0,48.4,"Pocahontas County, West Virginia",2.24,56.4,54.9,47.4,5.7,60,37.8,44.9,4.256631709
169.8,41420,33940,17.6,0,42.3,"Preston County, West Virginia",2.52,53.3,44.6,46.4,7,63.5,43.8,39.3,4.038301415
171.5,59472,56848,10,211.0892204,41,"Putnam County, West Virginia",2.6,57.4,43.6,37.8,3.7,73.6,55.3,31.2,6.034482759
198.2,40270,77510,17.7,12.90156109,41.6,"Raleigh County, West Virginia",2.4,51.3,41.1,39.5,6.6,60.6,33.6,44.6,3.77850558
