deathRate,medIncome,popEst2015,povertyPercent,studyPerCap,MedianAge,AvgHouseholdSize,PercentMarried,PctHS25_Over,PctUnemployed16_Over,PctPrivateCoverage,BirthRate,region
164.9,61898,260131,11.2,499.7482038,39.3,2.54,52.5,23.2,8,75.1,6.118831029,West
161.3,48127,43269,18.6,23.11123437,33,2.34,44.5,26,7.8,70.2,4.333095578,West
174.7,49348,21026,14.6,47.56016361,45,2.62,54.2,29,7,63.7,3.729487817,West
194.8,44243,75882,17.1,342.6372526,42.8,2.52,52.7,31.6,12.1,58.4,4.603840773,West
144.4,49955,10321,12.5,0,48.3,2.34,57.8,33.4,4.8,61.6,6.796657382,West
176,52313,61023,15.6,180.259902,45.4,2.58,50.4,30.4,12.9,60,4.964476021,West
175.9,37782,41516,23.2,0,42.6,2.42,54.1,29.8,8.9,49.5,4.204317269,West
183.6,40189,20848,17.8,0,51.7,2.24,52.7,31.6,8.9,55.8,5.889178996,West
190.5,42579,13088,22.3,0,49.3,2.38,55.9,32.2,10.3,55.5,5.587583149,West
177.8,60397,843954,13.1,427.7484318,35.8,2.65,50,28.8,9.2,69.9,5.533430211,West
121.4,54721,16252,12.7,0,54.4,2.04,56.8,17.2,5.9,67.2,4.586129754,West
172.7,51395,121846,15.7,837.1222691,41,2.56,53.6,26.7,8.2,64.4,5.818153266,West
188.3,52673,11339,12.6,0,45.2,2.49,54.4,29.2,8.3,64.4,4.805591962,West
165.3,71890,772501,9.9,138.5111476,37.6,2.68,52.1,24.3,7.5,73.3,4.729251068,West
171,50083,490945,16.3,462.3735856,37.2,2.45,49.4,25.7,8.4,65.2,5.355835918,West
174.2,43823,43791,19.3,0,46.2,2.44,57.2,34.4,9.4,58.3,3.631082062,West
169.9,61653,269536,11.9,207.7644545,38.5,2.52,52.4,22.7,8.5,74.5,5.180155167,West
153.8,51022,4042,13.9,0,52.1,2.31,53.5,33.1,10.6,64.7,0.535475234,West
162.8,49819,60338,15.7,464.0525042,36.9,2.5,46.5,22.6,6.4,65.7,4.138710893,West
163.3,53733,212284,15.7,249.6655424,36.5,2.53,47.5,23,8.2,68.7,4.4729858,West
140.8,41837,48177,28.4,0,24.2,2.31,36.1,17.4,8.8,78.3,3.304159034,West
169.4,44342,248830,20.5,301.4106016,32.5,3.05,48.6,27.8,9,54.6,6.560611666,West
189.7,35615,16704,21.5,0,41.5,2.68,52,47.1,9,55.6,2.292860865,South
206.1,56737,111901,13.2,89.3647063,38.4,0.0263,51.8,38.2,9.7,70,4.872468117,South
236.7,37625,23372,22.1,0,41.9,2.5,55.2,49.4,9.2,60.2,4.220287661,South
196.3,33817,14415,22.2,0,44.5,2.51,52.4,49.1,14.4,56.1,5.469020422,South
186.2,43572,23350,15.1,0,45.9,2.26,50.3,43.7,6.4,68.3,4.970530452,South
194,34887,96844,21.9,330.4283177,38.5,2.32,43,31.9,6.8,63.3,4.521925134,South
226.5,32162,7470,21.8,0,47,2.44,55.7,48.9,18.1,52.4,4.780114723,South
212.9,32961,8910,25.1,4938.271605,43.3,2.62,55.8,49.1,12.3,48.7,8.753056235,South
185.6,41838,8176,17.4,0,43.7,2.85,45.8,44.3,6.5,55.2,6.016466118,South
217,36739,44997,21.4,0,43.2,2.47,50.9,44.4,9.2,53.4,6.526136485,South
209.9,32705,8518,28.9,0,38.4,2.4,43.2,36.6,9.4,61.3,2.328431373,South
128,41039,11766,17,0,45.6,0.028,50.5,50.2,6.7,65.1,3.528435035,South
195.1,36996,35516,21.1,0,45.3,2.28,52.2,44,7.2,61.9,4.354354354,South
212.1,35980,23353,21.2,0,44.6,2.25,38.7,50,8.1,50.5,2.28320067,South
184.1,48178,29815,12.9,0,45.6,2.32,51.8,42.8,7.2,69.5,5.693029274,South
153,41010,13852,15.3,0,44.5,2.69,50.1,47.7,7.9,65.8,2.955003358,South
206.7,42121,68714,13.9,160.0838257,42,2.48,52.4,39.5,7.4,64,5.060383303,South
194.2,41121,29237,16.7,0,42.6,2.62,54.5,41.1,6.8,66.9,4.735242361,South
178.2,66950,56482,10.2,0,39.7,2.65,53.3,32.1,8.4,73.3,4.995519713,South
205.4,43936,188332,16.8,191.1517958,42.8,2.28,47.9,37.3,7,66,4.091266719,South
218.4,40568,16448,20,0,43.3,2.48,50.6,49.7,7.2,56.4,4.374100719,South
226.9,34295,21415,24.4,46.69624095,41.9,2.69,50.6,43.4,10.1,51.7,2.635983264,South
240.1,36437,34707,20.2,28.81263146,42.6,2.5,53.1,41.6,10.9,56.1,4.195713917,South
234.8,24707,19835,34.9,0,44.1,2.39,46,43.9,13.3,39.7,3.860072376,South
188.8,43729,56925,17.9,0,41.1,2.47,51,40.9,4.9,67.6,5.113459745,South
184.6,43356,31978,15.2,0,44.3,2.36,57.7,45.1,7,70.3,3.174132305,South
209.5,35799,27037,20.6,1146.576913,43,2.44,51.6,47.5,10.3,59.6,3.66910141,South
210,35046,61164,20.5,81.74743313,42.3,2.39,50.6,37.9,5.1,56.4,4.807972069,South
198.4,40012,27451,16.1,0,43.2,2.4,44.2,50.2,8.8,58.6,7.391231312,South
240.8,29839,25292,28.1,0,41.7,2.38,55.6,41,14.1,51.6,2.796024928,South
155.9,43835,104236,22.5,95.9361449,30,2.56,37.2,29.9,5.8,76.5,4.001671717,South
190.7,36351,13506,19.3,0,46.6,2.3,56.8,49.4,7.3,60.5,6.07651913,South
209.7,44446,17524,13,0,46.1,2.36,47.7,41.2,12.3,63.7,4.090035685,South
199.8,36375,25594,19.6,0,43.4,2.39,57.9,48,8.4,61.6,3.346456693,South
184.4,40195,43066,18.4,301.8622579,43.3,2.24,45.2,34.5,5.5,70.9,3.257226644,South
139.8,38204,7229,16.7,0,49.1,2.35,55.3,46,4.9,59.8,7.611940299,South
213.3,44801,7674,16.5,0,43.6,2.43,55,50.1,8.2,71.6,2.966381015,South
176.8,34341,8607,17.6,0,48.4,2.24,56.4,47.4,5.7,60,4.256631709,South
169.8,41420,33940,17.6,0,42.3,2.52,53.3,46.4,7,63.5,4.038301415,South
171.5,59472,56848,10,211.0892204,41,2.6,57.4,37.8,3.7,73.6,6.034482759,South
198.2,40270,77510,17.7,12.90156109,41.6,2.4,51.3,39.5,6.6,60.6,3.77850558,South
168.6,37468,29126,20.8,0,43.2,2.35,52.2,46.3,6.7,59.6,4.231027535,South
214.7,46383,9982,17.7,0,45.2,2.56,49.5,47.9,10.6,57.4,6.267539757,South
204,33041,14435,23.1,0,44.2,2.48,53.9,46.5,8.9,51.6,2.353331124,South
170.4,32456,13239,25.8,0,46.3,2.22,53.5,40.5,10,60.2,3.812668868,South
172.2,40305,16912,16.8,0,43,2.45,52.3,43.6,9.5,63.7,6.801152738,South
168.1,36466,6966,17.1,0,47.7,2.26,60.5,52.7,7.6,68,3.868613139,South
